カード番号,カード名,レアリティ（星の数）,上,右,下,左,属性
1,おともだち,1,5,5,2,2,
2,キミと××××したいだけ,1,1,4,7,1,
3,魔性少女マショウショウジョ,1,3,4,3,3,
4,花喰みハナバ,1,3,7,2,1,
5,乙女心中オトメシンジュウ,1,3,3,3,4,
6,ゾクゾク,1,2,5,2,5,
7,少女の日の思い出①ショウジョヒオモデ,1,4,2,3,4,
8,少女の日の思い出②ショウジョヒオモデ,1,2,5,5,2,
9,HANAGATAMI,1,6,1,3,4,
10,すき、きらい,1,2,2,4,6,
11,そっくりさん,1,4,2,5,3,
12,ノア,1,5,2,5,2,
13,botばっか,1,2,4,3,5,
14,薔薇色の月バライロツキ,1,4,3,3,3,
15,もーいーかい？,1,4,5,3,3,
16,輪廻るリンネ,1,2,3,4,4,
17,ホラークイーン,1,2,4,5,4,
18,ハイネ,1,2,2,7,2,
19,[お揃いのしるし],2,5,4,6,5,もなタイプ
20,[スクショ撮って流すね]トナガ,2,3,7,5,5,もなタイプ
21,[血が見たい],2,6,6,3,4,もなタイプ
22,[m-m-m-mimesis],2,5,3,7,5,もなタイプ
23,[水銀燈が揺れてゐる]スイギントウユ,2,2,2,7,7,もなタイプ
24,[死体に群がる通俗人等],2,2,7,7,2,もなタイプ
25,[逃げ場を亡一味],2,7,7,2,2,もなタイプ
26,[ここではないどこかに],2,7,7,3,2,もなタイプ
27,[裁きの時],2,6,7,2,3,もなタイプ
28,[いつもの約束]ヤクソク,2,6,5,3,5,美雨タイプ
29,[嘘に遑あらず],2,5,5,5,5,美雨タイプ
30,[血が見たい],2,6,2,6,6,美雨タイプ
31,[ほら虜],2,1,7,3,7,美雨タイプ
32,[嫌味や僻みは痛みなし],2,2,6,3,6,美雨タイプ
33,[目が覚めて],2,6,3,7,3,美雨タイプ
34,[裁きの時],2,2,7,2,7,美雨タイプ
35,[失態コミュニケーション],2,7,2,7,2,美雨タイプ
36,[曼陀羅華模様の夜],2,7,6,3,3,美雨タイプ
37,[命懸けの指切り]イノチガユビキ,2,4,3,6,6,凛花タイプ
38,[降霊の占い],2,3,7,7,1,凛花タイプ
39,[血が見たい],2,4,3,7,3,凛花タイプ
40,[なんて嘘だから！]ウソ,2,7,3,4,5,凛花タイプ
41,[水面を揺らす夜光蝶],2,6,6,6,2,凛花タイプ
42,[長い夢を見ていた]ナガユメミ,2,7,5,5,3,凛花タイプ
43,[裁きの時],2,5,5,3,7,凛花タイプ
44,[今までどこにいたのですか？],2,2,6,6,6,凛花タイプ
45,[ご都合主義の墓場じゃ]ツゴウシュギハカバ,2,4,6,3,6,凛花タイプ
46,[おいでください],2,6,3,7,3,百花タイプ
